DATAFLOW,LAST UPDATE,freq,indic_env,source,unit,TIME_PERIOD,OBS_VALUE
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,1850,-0.05
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,1860,-0.02
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,1870,0.05
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,1880,0.07
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,1880,0.1
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,1880,0.06
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,1890,-0.12
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,1890,-0.09
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,1890,-0.16
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,1900,0.16
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,1900,0.12
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,1900,0.11
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,1910,-0.2
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,1910,-0.16
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,1910,-0.21
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,1920,-0.04
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,1920,0.08
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,1920,-0.04
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,1930,0.07
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,1930,0.19
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,1930,0.08
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,1940,0.36
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,1940,0.34
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,1940,0.35
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,1950,0.05
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,1950,0.15
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,1950,0.03
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,1960,0.21
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,1960,0.28
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,1960,0.24
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,1970,0.25
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,1970,0.3
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,1970,0.25
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,1980,0.49
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,1980,0.42
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,1980,0.47
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,1990,0.68
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,1990,0.62
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,1990,0.64
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2000,0.63
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2000,0.62
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2000,0.62
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2001,0.77
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2001,0.77
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2001,0.76
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2002,0.86
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2002,0.82
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2002,0.81
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2003,0.85
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2003,0.83
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2003,0.83
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2004,0.77
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2004,0.77
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2004,0.77
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2005,0.91
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2005,0.87
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2005,0.86
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2006,0.87
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2006,0.83
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2006,0.83
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2007,0.89
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2007,0.82
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2007,0.81
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2008,0.77
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2008,0.72
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2008,0.73
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2009,0.89
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2009,0.83
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2009,0.84
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2010,0.96
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2010,0.89
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2010,0.92
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2011,0.84
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2011,0.75
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2011,0.77
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2012,0.87
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2012,0.8
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2012,0.83
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2013,0.92
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2013,0.84
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2013,0.86
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2014,0.98
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2014,0.9
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2014,0.93
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2015,1.13
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2015,1.09
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2015,1.12
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2016,1.25
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2016,1.12
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2016,1.18
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2017,1.15
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2017,1
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2017,1.1
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2018,1.08
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2018,0.92
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2018,1.02
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,GISTEMP,DEGC,2019,1.21
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,HADCRUT4,DEGC,2019,1.06
ESTAT:CLI_IAD_TD(1.0),7/6/2021 23:00,A,TD_GLB_A,NOAAGLOBALTEMP,DEGC,2019,1.14
